Year,State Fips,State Abbreviation,Share with medical debt in collections,Median medical debt in collections in $2023,Share with medical debt in collections - Majority White,Median medical debt in collections in $2023 - Majority White,Share with medical debt in collections - Majority of Color,Median medical debt in collections in $2023 - Majority of Color,Hospital market concentration (HHI),Number of Closures and Mergers,Share of the population with no health insurance coverage,Share of non-elderly adults with a reported disability,Average household income in $2023
2011,01,AL,.223,776,.206,786,.28,760,2137,0,.143,.147,77494
2012,01,AL,.222,746,.203,730,.283,783,2407,3,.133,.149,76141
2013,01,AL,.233,755,.214,751,.297,772,2457,4,.136,.142,77554
2014,01,AL,.2,795,.189,815,.233,749,2557,2,.121,.144,76536
2015,01,AL,.205,836,.194,846,.241,798,2532,1,.101,.149,80100
2016,01,AL,.2,844,.188,856,.24,825,2585,0,.091,.144,82054
2017,01,AL,.199,849,.182,810,.261,930,2533,0,.094,.143,82462
2018,01,AL,.207,971,.188,925,.277,1102,2575,2,.1,.143,83837
2019,01,AL,.201,1138,.184,1095,.266,1272,2621,1,.097,.138,85190
2020,01,AL,.195,1151,.179,1095,.26,1313,2729,2,NA,NA,NA
2021,01,AL,.187,1109,.172,1054,.247,1264,2596,0,.099,.143,85374
2022,01,AL,.152,868,.141,828,.199,970,2565,1,.088,.147,86371
2023,01,AL,.066,1370,.061,1374,.086,1316,NA,NA,NA,NA,NA
2011,02,AK,.169,1241,.162,1242,.201,1195,1215,0,.201,.097,111977
2012,02,AK,.17,1334,.162,1281,.206,1468,1226,0,.205,.106,112459
2013,02,AK,.175,1342,.169,1354,.209,1337,1316,0,.185,.101,116093
2014,02,AK,.176,1521,.167,1519,.218,1655,1198,0,.172,.098,114673
2015,02,AK,.172,1595,.162,1601,.215,1598,1263,0,.149,.103,119398
2016,02,AK,.169,1619,.163,1640,.2,1603,1233,0,.14,.11,118465
2017,02,AK,.161,1760,.155,1742,.188,1884,1135,0,.137,.118,115200
2018,02,AK,.159,1597,.155,1621,.179,1552,1319,0,.126,.116,116587
2019,02,AK,.155,1475,.151,1471,.173,1524,1260,0,.122,.105,117401
2020,02,AK,.148,1552,.145,1594,.166,1494,1445,0,NA,NA,NA
2021,02,AK,.141,1533,.136,1602,.165,1304,1462,0,.114,.122,113032
2022,02,AK,.037,584,.036,625,.043,523,1422,0,.11,.121,114032
2023,02,AK,.036,1406,.034,1413,.042,1365,NA,NA,NA,NA,NA
2011,04,AZ,.212,914,.18,959,.276,867,2293,0,.172,.098,85240
2012,04,AZ,.219,924,.187,952,.283,891,2323,1,.176,.097,86052
2013,04,AZ,.227,971,.195,991,.291,948,2381,1,.171,.103,86835
2014,04,AZ,.226,1037,.196,1031,.288,1045,2576,1,.136,.104,87654
2015,04,AZ,.223,1116,.193,1109,.285,1125,2585,0,.108,.105,90810
2016,04,AZ,.203,1097,.174,1094,.264,1102,2540,1,.1,.107,94014
2017,04,AZ,.195,1106,.167,1058,.253,1175,2542,1,.101,.105,96277
2018,04,AZ,.19,1078,.163,1042,.249,1132,2576,2,.106,.107,97653
2019,04,AZ,.182,1118,.156,1070,.24,1175,2590,0,.113,.106,100636
2020,04,AZ,.166,1085,.142,1033,.219,1158,2680,0,NA,NA,NA
2021,04,AZ,.153,1033,.131,991,.202,1096,2570,0,.107,.11,104776
2022,04,AZ,.11,726,.096,705,.142,776,2490,1,.103,.109,105486
2023,04,AZ,.054,1395,.045,1400,.072,1392,NA,NA,NA,NA,NA
2011,05,AR,.229,917,.227,912,.243,959,1625,0,.171,.152,72071
2012,05,AR,.217,839,.214,844,.235,818,1679,0,.164,.147,71819
2013,05,AR,.224,867,.222,870,.232,861,1846,1,.16,.153,72654
2014,05,AR,.231,915,.231,929,.236,865,1944,1,.118,.15,74256
2015,05,AR,.235,926,.23,915,.265,967,1911,0,.095,.15,76202
2016,05,AR,.218,889,.212,884,.256,934,1948,1,.079,.153,77655
2017,05,AR,.225,794,.219,796,.267,791,1908,0,.079,.162,79009
2018,05,AR,.218,723,.213,733,.253,677,2053,0,.082,.156,81017
2019,05,AR,.208,787,.204,791,.239,759,2088,0,.091,.154,81306
2020,05,AR,.198,756,.194,759,.227,743,2089,1,NA,NA,NA
2021,05,AR,.194,721,.188,716,.238,739,2166,1,.092,.151,82229
2022,05,AR,.166,578,.161,579,.203,576,2146,0,.084,.161,80017
2023,05,AR,.071,1383,.067,1374,.1,1416,NA,NA,NA,NA,NA
2011,06,CA,.138,899,.116,893,.15,901,1558,0,.181,.08,109516
2012,06,CA,.141,962,.12,954,.152,965,1546,2,.179,.079,109036
2013,06,CA,.143,968,.122,978,.154,965,1560,5,.172,.083,112103
2014,06,CA,.143,1003,.122,1020,.155,995,1612,3,.124,.083,114030
2015,06,CA,.139,965,.118,967,.151,965,1650,2,.086,.083,117960
2016,06,CA,.13,1009,.11,1028,.14,999,1692,2,.073,.083,123097
2017,06,CA,.119,989,.102,983,.128,993,1692,2,.072,.081,126496
2018,06,CA,.112,898,.098,903,.121,896,1701,4,.072,.077,130303
2019,06,CA,.098,940,.085,926,.106,946,1716,5,.077,.078,135348
2020,06,CA,.092,895,.079,858,.099,911,1745,6,NA,NA,NA
2021,06,CA,.083,832,.071,803,.089,844,1759,0,.07,.086,136010
2022,06,CA,.072,730,.062,682,.077,752,1762,1,.065,.09,136917
2023,06,CA,.028,1963,.023,1934,.031,1969,NA,NA,NA,NA,NA
2011,08,CO,.191,1048,.165,1058,.309,1031,2401,0,.151,.087,101394
2012,08,CO,.183,1047,.16,1058,.286,1028,2472,0,.147,.085,101511
2013,08,CO,.183,1076,.162,1101,.28,1033,2361,0,.141,.092,103828
2014,08,CO,.184,1048,.163,1052,.28,1040,2302,0,.103,.089,105921
2015,08,CO,.178,972,.158,976,.269,964,2319,0,.081,.084,110449
2016,08,CO,.171,972,.152,986,.259,942,2337,0,.075,.089,112033
2017,08,CO,.168,920,.148,941,.26,870,2300,0,.075,.089,114940
2018,08,CO,.153,916,.132,929,.252,876,2350,1,.075,.088,116754
2019,08,CO,.137,930,.118,951,.228,891,2340,0,.08,.084,123376
2020,08,CO,.131,874,.114,898,.215,819,2295,0,NA,NA,NA
2021,08,CO,.121,847,.106,866,.195,803,2302,0,.08,.093,124425
2022,08,CO,.098,702,.086,717,.161,660,2298,0,.071,.097,123939
2023,08,CO,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
2011,09,CT,.107,528,.085,508,.171,568,1817,0,.088,.083,124958
2012,09,CT,.117,549,.093,524,.191,596,2235,1,.091,.082,125807
